Method      M     tc    tol max_iter RMS comp_time
 euler     51  0.005 0.000100    500 55.148 125.565
 euler     51  0.005 0.000100   1000 55.148 125.737
 euler     51  0.005 0.000100   1500 55.148 125.565
 euler     51  0.005 0.000100   2000 55.148 125.955
 euler     51  0.010 0.001000    500 37.579 17.691
 euler     51  0.010 0.001000   1000 37.579 17.160
 euler     51  0.010 0.001000   1500 37.579 17.815
 euler     51  0.010 0.001000   2000 37.579 17.675
 euler     51  0.010 0.000100    500 40.542 88.811
 euler     51  0.010 0.000100   1000 40.542 89.030
 euler     51  0.010 0.000100   1500 40.542 89.014
 euler     51  0.010 0.000100   2000 40.542 89.108
 euler     51  0.050 0.001000    500 19.892  6.224
 euler     51  0.050 0.001000   1000 19.892  6.490
 euler     51  0.050 0.001000   1500 19.892  6.224
 euler     51  0.050 0.001000   2000 19.892  6.224
 euler     51  0.050 0.000100    500 20.353 40.529
 euler     51  0.050 0.000100   1000 20.353 40.576
 euler     51  0.050 0.000100   1500 20.353 40.779
 euler     51  0.050 0.000100   2000 20.353 40.560
 euler     51  0.050 0.000010    500 24.298 143.802
 euler     51  0.050 0.000010   1000 18.492 179.354
 euler     51  0.050 0.000010   1500 18.553 195.360
 euler     51  0.050 0.000010   2000 18.553 195.298
 euler     51  0.050 0.000001    500 67.089 214.345
 euler     61  0.005 0.001000    500 48.385 28.767
 euler     61  0.005 0.001000   1000 48.385 29.734
 euler     61  0.005 0.001000   1500 48.385 29.843
 euler     61  0.005 0.001000   2000 48.385 29.079
 euler     61  0.005 0.000100    500 55.176 125.409
 euler     61  0.005 0.000100   1000 55.176 125.518
 euler     61  0.005 0.000100   1500 55.176 125.472
 euler     61  0.005 0.000100   2000 55.176 125.487
 euler     61  0.010 0.001000    500 38.061 18.892
 euler     61  0.010 0.001000   1000 38.061 18.361
 euler     61  0.010 0.001000   1500 38.061 18.642
 euler     61  0.010 0.001000   2000 38.061 19.063
 euler     61  0.010 0.000100    500 41.502 89.529
 euler     61  0.010 0.000100   1000 41.502 88.936
 euler     61  0.010 0.000100   1500 41.502 89.389
 euler     61  0.010 0.000100   2000 41.502 89.108
 euler     61  0.050 0.001000    500 20.398  6.661
 euler     61  0.050 0.001000   1000 20.398  6.708
 euler     61  0.050 0.001000   1500 20.398  6.396
 euler     61  0.050 0.001000   2000 20.398  6.583
 euler     61  0.050 0.000100    500 21.482 39.125
 euler     61  0.050 0.000100   1000 21.482 39.031
 euler     61  0.050 0.000100   1500 21.482 38.922
 euler     61  0.050 0.000100   2000 21.482 39.187
 euler     61  0.050 0.000010    500 18.614 213.597
 euler     61  0.050 0.000010   1000 24.817 190.930
 euler     61  0.050 0.000010   1500 20.761 197.123
 euler     61  0.050 0.000010   2000 20.761 197.185
 euler     61  0.050 0.000001    500 53.920 233.065
 euler     71  0.005 0.001000    500 50.240 31.091
 euler     71  0.005 0.001000   1000 50.240 31.107
 euler     71  0.005 0.001000   1500 50.240 31.231
 euler     71  0.005 0.001000   2000 50.240 30.997
 euler     71  0.005 0.000100    500 54.677 124.411
 euler     71  0.005 0.000100   1000 54.677 124.801
 euler     71  0.005 0.000100   1500 54.677 124.723
 euler     71  0.005 0.000100   2000 54.677 124.380
 euler     71  0.010 0.001000    500 38.807 18.954
 euler     71  0.010 0.001000   1000 38.807 19.266
 euler     71  0.010 0.001000   1500 38.807 19.048
 euler     71  0.010 0.001000   2000 38.807 19.547
