Method      M     tc    tol max_iter  tf comp_time
 euler    101  0.100 0.000100   1000  2.600 25.522
 euler    101  0.100 0.000100   2000  2.600 26.395
 euler    101  0.100 0.000010   1000  2.300 26.926
 euler    101  0.100 0.000010   2000  2.300 27.316
trap      11  0.010 0.001000   1000  2.260 20.467
trap      11  0.010 0.001000   2000  2.260 20.046
trap      11  0.010 0.000100   1000  2.250 24.165
trap      11  0.010 0.000100   2000  2.250 25.069
trap      11  0.010 0.000010   1000  2.240 24.820
trap      11  0.010 0.000010   2000  2.240 24.773
trap      11  0.010 0.000001   1000  2.250 29.734
trap      31  0.050 0.000100   1000  3.150 20.920
trap      31  0.050 0.000100   2000  3.150 21.513
trap      51  0.050 0.001000   1000  2.850 21.341
trap      51  0.050 0.001000   2000  2.850 21.310
trap      81  0.050 0.001000   1000  2.300 28.642
trap      81  0.050 0.001000   2000  2.300 28.782
trap      91  0.050 0.001000   2000  2.550 67.143
herm      21  0.050 0.000100   1000  4.250 24.523
herm      21  0.050 0.000100   2000  4.250 24.180
herm      21  0.100 0.001000   1000  4.300 12.121
herm      61  0.050 0.001000   1000  2.800 21.840
herm      61  0.050 0.001000   2000  2.800 21.731
herm     101  0.100 0.001000   1000  2.400 18.549
herm     101  0.100 0.001000   2000  2.400 18.673
