Simulation Time - Measured	Travel (deg) - Measured
1.525	6.41602
1.53	6.41602
1.535	6.54785
1.54	6.54785
1.545	6.5918
1.55	6.72363
1.555	6.72363
1.56	6.81152
1.565	6.85547
1.57	6.9873
1.575	6.9873
1.58	7.03125
1.585	7.11914
1.59	7.16309
1.595	7.20703
1.6	7.29492
1.605	7.33887
1.61	7.38281
1.615	7.4707
1.62	7.51465
1.625	7.55859
1.63	7.64648
1.635	7.69043
1.64	7.73437
1.645	7.82227
1.65	7.86621
1.655	7.86621
1.66	7.99805
1.665	8.04199
1.67	8.08594
1.675	8.12988
1.68	8.17383
1.685	8.21777
1.69	8.26172
1.695	8.30566
1.7	8.39355
1.705	8.4375
1.71	8.4375
1.715	8.52539
1.72	8.56934
1.725	8.61328
1.73	8.70117
1.735	8.74512
1.74	8.78906
1.745	8.83301
1.75	8.87695
1.755	9.00879
1.76	9.00879
1.765	9.05273
1.77	9.14063
1.775	9.18457
1.78	9.22852
1.785	9.27246
1.79	9.31641
1.795	9.36035
1.8	9.44824
1.805	9.49219
1.81	9.49219
1.815	9.58008
1.82	9.62402
1.825	9.62402
1.83	9.71191
1.835	9.75586
1.84	9.7998
1.845	9.8877
1.85	9.93164
1.855	9.97559
1.86	10.1074
1.865	10.1074
1.87	10.2393
1.875	10.2393
1.88	10.3271
1.885	10.3711
1.89	10.415
1.895	10.459
1.9	10.5029
1.905	10.5469
1.91	10.6348
1.915	10.6787
1.92	10.6787
1.925	10.8105
1.93	10.8545
1.935	10.8545
1.94	10.9424
1.945	10.9863
1.95	11.0303
1.955	11.0742
1.96	11.1182
1.965	11.2061
1.97	11.25
1.975	11.2939
1.98	11.3818
1.985	11.4258
1.99	11.4258
1.995	11.5137
2	11.5576
2.005	11.5576
2.01	11.6455
2.015	11.6895
2.02	11.7334
2.025	11.7773
2.03	11.8213
2.035	11.8652
2.04	11.9092
2.045	11.9531
2.05	12.041
2.055	12.041
2.06	12.085
2.065	12.1289
2.07	12.1729
2.075	12.2168
2.08	12.3486
2.085	12.3486
2.09	12.3926
2.095	12.4805
2.1	12.4805
2.105	12.5244
2.11	12.6123
2.115	12.6562
2.12	12.7002
2.125	12.7881
2.13	12.832
2.135	12.832
2.14	12.9199
2.145	12.9639
2.15	13.0078
2.155	13.0518
2.16	13.0957
2.165	13.1396
2.17	13.1836
2.175	13.2275
2.18	13.2715
2.185	13.3154
2.19	13.3154
2.195	13.4473
2.2	13.4473
2.205	13.4912
2.21	13.5352
2.215	13.5791
2.22	13.667
2.225	13.667
2.23	13.7109
2.235	13.7549
2.24	13.7988
2.245	13.8428
2.25	13.9307
2.255	13.9307
2.26	13.9746
2.265	14.0186
2.27	14.0625
2.275	14.0625
2.28	14.1504
2.285	14.1943
2.29	14.2383
2.295	14.2822
2.3	14.2822
2.305	14.3701
2.31	14.3701
2.315	14.4141
2.32	14.502
2.325	14.5459
2.33	14.5459
2.335	14.6338
2.34	14.6777
2.345	14.7217
2.35	14.7656
2.355	14.8096
2.36	14.8096
2.365	14.8535
2.37	14.8975
2.375	14.8975
2.38	14.9854
2.385	14.9854
2.39	15.0732
2.395	15.0732
2.4	15.0732
2.405	15.1611
2.41	15.2051
2.415	15.249
2.42	15.249
2.425	15.293
2.43	15.3369
2.435	15.3809
2.44	15.3809
2.445	15.4248
2.45	15.4687
2.455	15.5127
2.46	15.5127
2.465	15.5566
2.47	15.6006
2.475	15.6445
2.48	15.6445
2.485	15.6885
2.49	15.6885
2.495	15.7324
2.5	15.7764
2.505	15.8203
2.51	15.8203
2.515	15.8643
2.52	15.9082
2.525	15.9082
2.53	15.9521
2.535	15.9961
2.54	15.9961
2.545	16.084
2.55	16.084
2.555	16.084
2.56	16.1279
2.565	16.1719
2.57	16.2158
2.575	16.2158
2.58	16.2598
2.585	16.3037
2.59	16.3037
2.595	16.3477
2.6	16.3916
2.605	16.3916
2.61	16.4355
2.615	16.4355
2.62	16.4795
2.625	16.4795
2.63	16.5234
2.635	16.5234
2.64	16.5674
2.645	16.5674
2.65	16.6113
2.655	16.6553
2.66	16.6553
2.665	16.6992
2.67	16.6992
2.675	16.6992
2.68	16.7432
2.685	16.7432
2.69	16.7871
2.695	16.8311
2.7	16.8311
2.705	16.8311
2.71	16.875
2.715	16.875
2.72	16.9189
2.725	16.9189
2.73	16.9629
2.735	16.9629
2.74	17.0068
2.745	17.0068
2.75	17.0508
2.755	17.0508
2.76	17.0947
2.765	17.0947
2.77	17.1387
2.775	17.1387
2.78	17.1826
2.785	17.1826
2.79	17.2266
2.795	17.2266
2.8	17.2266
2.805	17.2705
2.81	17.2705
2.815	17.3145
2.82	17.3145
2.825	17.3584
2.83	17.3584
2.835	17.4023
2.84	17.4463
2.845	17.4463
2.85	17.4902
2.855	17.4902
2.86	17.4902
2.865	17.5342
2.87	17.5342
2.875	17.5342
2.88	17.5781
2.885	17.6221
2.89	17.6221
2.895	17.6221
2.9	17.666
2.905	17.666
2.91	17.71
2.915	17.71
2.92	17.71
2.925	17.7539
2.93	17.7539
2.935	17.7979
2.94	17.7979
2.945	17.7979
2.95	17.8418
2.955	17.8418
2.96	17.8418
2.965	17.8857
2.97	17.8857
2.975	17.9297
2.98	17.9297
2.985	17.9297
2.99	17.9736
2.995	17.9736
3	18.0176
3.005	18.0176
3.01	18.0615
3.015	18.0615
3.02	18.1055
3.025	18.1055
3.03	18.1055
3.035	18.1494
3.04	18.1494
3.045	18.1494
3.05	18.1934
3.055	18.1934
3.06	18.1934
3.065	18.2373
3.07	18.2373
3.075	18.2373
3.08	18.2813
3.085	18.2813
3.09	18.3252
3.095	18.3252
3.1	18.3252
3.105	18.3252
3.11	18.3691
3.115	18.3691
3.12	18.3691
3.125	18.3691
3.13	18.4131
3.135	18.4131
3.14	18.4131
3.145	18.457
3.15	18.457
3.155	18.457
3.16	18.457
3.165	18.501
3.17	18.501
3.175	18.501
3.18	18.501
3.185	18.501
3.19	18.5449
3.195	18.5449
3.2	18.5449
