time (s) - Measured	Pitch (deg) - Measured
0	0
0.005	-0.0878906
0.01	-0.0878906
0.015	-0.0878906
0.02	-0.175781
0.025	-0.175781
0.03	-0.175781
0.035	-0.175781
0.04	-0.175781
0.045	-0.175781
0.05	-0.175781
0.055	-0.175781
0.06	-0.175781
0.065	-0.175781
0.07	-0.175781
0.075	-0.0878906
0.08	-0.0878906
0.085	-0.0878906
0.09	-0.0878906
0.095	-0.0878906
0.1	-0.0878906
0.105	-0.0878906
0.11	-0.0878906
0.115	-0.175781
0.12	-0.175781
0.125	-0.175781
0.13	-0.175781
0.135	-0.263672
0.14	-0.263672
0.145	-0.263672
0.15	-0.263672
0.155	-0.263672
0.16	-0.263672
0.165	-0.175781
0.17	-0.175781
0.175	-0.263672
0.18	-0.263672
0.185	-0.263672
0.19	-0.263672
0.195	-0.351562
0.2	-0.351562
0.205	-0.351562
0.21	-0.351562
0.215	-0.439453
0.22	-0.439453
0.225	-0.439453
0.23	-0.439453
0.235	-0.439453
0.24	-0.439453
0.245	-0.439453
0.25	-0.527344
0.255	-0.527344
0.26	-0.615234
0.265	-0.615234
0.27	-0.703125
0.275	-0.703125
0.28	-0.791016
0.285	-0.791016
0.29	-0.878906
0.295	-0.878906
0.3	-0.878906
0.305	-0.966797
0.31	-0.966797
0.315	-1.05469
0.32	-1.05469
0.325	-1.14258
0.33	-1.31836
0.335	-1.31836
0.34	-1.40625
0.345	-1.49414
0.35	-1.49414
0.355	-1.58203
0.36	-1.75781
0.365	-1.75781
0.37	-1.75781
0.375	-2.02148
0.38	-2.02148
0.385	-2.28516
0.39	-2.37305
0.395	-2.54883
0.4	-2.54883
0.405	-2.63672
0.41	-2.8125
0.415	-2.90039
0.42	-3.16406
0.425	-3.16406
0.43	-3.25195
0.435	-3.42773
0.44	-3.51563
0.445	-3.69141
0.45	-3.7793
0.455	-3.86719
0.46	-3.95508
0.465	-4.04297
0.47	-4.13086
0.475	-4.21875
0.48	-4.30664
0.485	-4.39453
0.49	-4.6582
0.495	-4.74609
0.5	-4.83398
0.505	-4.92188
0.51	-5.00977
0.515	-5.09766
0.52	-5.36133
0.525	-5.44922
0.53	-5.53711
0.535	-5.71289
0.54	-5.80078
0.545	-5.97656
0.55	-6.06445
0.555	-6.15234
0.56	-6.32812
0.565	-6.41602
0.57	-6.41602
0.575	-6.50391
0.58	-6.67969
0.585	-6.76758
0.59	-6.94336
0.595	-7.03125
0.6	-7.20703
0.605	-7.38281
0.61	-7.38281
0.615	-7.4707
0.62	-7.73437
0.625	-7.82227
0.63	-7.91016
0.635	-8.17383
0.64	-8.26172
0.645	-8.4375
0.65	-8.52539
0.655	-8.61328
0.66	-8.78906
0.665	-8.96484
0.67	-9.05273
0.675	-9.22852
0.68	-9.31641
0.685	-9.49219
0.69	-9.58008
0.695	-9.66797
0.7	-9.75586
0.705	-9.84375
0.71	-9.93164
0.715	-10.1074
0.72	-10.1953
