Elevation (deg) - Measured	
1.615	-7.72461
1.62	-7.72461
1.625	-7.8125
1.63	-7.8125
1.635	-7.8125
1.64	-7.8125
1.645	-7.8125
1.65	-7.90039
1.655	-7.90039
1.66	-7.90039
1.665	-7.90039
1.67	-7.90039
1.675	-7.90039
1.68	-7.98828
1.685	-7.98828
1.69	-7.98828
1.695	-7.98828
1.7	-7.98828
1.705	-7.98828
1.71	-8.07617
1.715	-8.07617
1.72	-8.07617
1.725	-8.07617
1.73	-8.07617
1.735	-8.07617
1.74	-8.07617
1.745	-8.07617
1.75	-8.07617
1.755	-8.07617
1.76	-8.16406
1.765	-8.16406
1.77	-8.16406
1.775	-8.16406
1.78	-8.16406
1.785	-8.16406
1.79	-8.16406
1.795	-8.16406
1.8	-8.16406
1.805	-8.16406
1.81	-8.16406
1.815	-8.16406
1.82	-8.25195
1.825	-8.25195
1.83	-8.25195
1.835	-8.25195
1.84	-8.25195
1.845	-8.25195
1.85	-8.25195
1.855	-8.25195
1.86	-8.25195
1.865	-8.25195
1.87	-8.25195
1.875	-8.25195
1.88	-8.25195
1.885	-8.25195
1.89	-8.25195
1.895	-8.25195
1.9	-8.25195
1.905	-8.25195
1.91	-8.25195
1.915	-8.25195
1.92	-8.33984
1.925	-8.33984
1.93	-8.33984
1.935	-8.33984
1.94	-8.33984
1.945	-8.33984
1.95	-8.33984
1.955	-8.33984
1.96	-8.33984
1.965	-8.33984
1.97	-8.33984
1.975	-8.33984
1.98	-8.33984
1.985	-8.33984
1.99	-8.33984
1.995	-8.33984
2	-8.33984
2.005	-8.42773
2.01	-8.42773
2.015	-8.42773
2.02	-8.42773
2.025	-8.42773
2.03	-8.42773
2.035	-8.42773
2.04	-8.42773
2.045	-8.42773
2.05	-8.42773
2.055	-8.42773
2.06	-8.42773
2.065	-8.42773
2.07	-8.42773
2.075	-8.42773
2.08	-8.42773
2.085	-8.42773
2.09	-8.42773
2.095	-8.42773
2.1	-8.42773
2.105	-8.42773
