Simulation Time - Measured	Travel (deg) - Measured
0	0
0.005	0
0.01	0
0.015	-0.0439453
0.02	-0.0439453
0.025	-0.0439453
0.03	-0.0439453
0.035	-0.0439453
0.04	-0.0439453
0.045	-0.0439453
0.05	-0.0439453
0.055	-0.0439453
0.06	-0.0439453
0.065	-0.0439453
0.07	-0.0878906
0.075	-0.0878906
0.08	-0.0878906
0.085	-0.0878906
0.09	-0.0878906
0.095	-0.0878906
0.1	-0.131836
0.105	-0.131836
0.11	-0.131836
0.115	-0.131836
0.12	-0.131836
0.125	-0.131836
0.13	-0.175781
0.135	-0.175781
0.14	-0.175781
0.145	-0.175781
0.15	-0.175781
0.155	-0.175781
0.16	-0.175781
0.165	-0.175781
0.17	-0.175781
0.175	-0.219727
0.18	-0.175781
0.185	-0.175781
0.19	-0.219727
0.195	-0.219727
0.2	-0.175781
0.205	-0.219727
0.21	-0.219727
0.215	-0.219727
0.22	-0.219727
0.225	-0.175781
0.23	-0.219727
0.235	-0.175781
0.24	-0.175781
0.245	-0.175781
0.25	-0.175781
0.255	-0.175781
0.26	-0.175781
0.265	-0.175781
0.27	-0.131836
0.275	-0.131836
0.28	-0.131836
0.285	-0.0878906
0.29	-0.175781
0.295	-0.0878906
0.3	-0.0439453
0.305	-0.131836
0.31	-0.0439453
0.315	-0.0439453
0.32	0
0.325	-0.0878906
0.33	0
0.335	0
0.34	-0.0439453
0.345	0
0.35	0.0878906
0.355	0.0439453
0.36	0.0439453
0.365	0.131836
0.37	0.0878906
0.375	0.175781
0.38	0.131836
0.385	0.175781
0.39	0.175781
0.395	0.175781
0.4	0.263672
0.405	0.219727
0.41	0.263672
0.415	0.219727
0.42	0.263672
0.425	0.263672
0.43	0.263672
0.435	0.263672
0.44	0.263672
0.445	0.263672
0.45	0.307617
0.455	0.307617
0.46	0.307617
0.465	0.307617
0.47	0.307617
0.475	0.307617
0.48	0.351562
0.485	0.351562
0.49	0.351562
0.495	0.351562
0.5	0.351562
0.505	0.351562
0.51	0.351562
0.515	0.351562
0.52	0.351562
0.525	0.395508
0.53	0.395508
0.535	0.395508
0.54	0.395508
0.545	0.439453
0.55	0.439453
0.555	0.439453
0.56	0.439453
0.565	0.439453
0.57	0.439453
0.575	0.439453
0.58	0.439453
0.585	0.439453
0.59	0.439453
0.595	0.439453
0.6	0.439453
0.605	0.439453
0.61	0.483398
0.615	0.483398
0.62	0.483398
0.625	0.483398
0.63	0.483398
0.635	0.483398
0.64	0.483398
0.645	0.483398
0.65	0.483398
0.655	0.483398
0.66	0.483398
0.665	0.483398
0.67	0.483398
0.675	0.483398
0.68	0.483398
0.685	0.483398
0.69	0.483398
0.695	0.483398
0.7	0.483398
0.705	0.527344
0.71	0.527344
0.715	0.483398
0.72	0.483398
0.725	0.483398
0.73	0.527344
0.735	0.483398
0.74	0.483398
0.745	0.483398
0.75	0.483398
0.755	0.483398
0.76	0.483398
0.765	0.483398
0.77	0.483398
0.775	0.527344
0.78	0.527344
0.785	0.527344
0.79	0.527344
0.795	0.527344
0.8	0.527344
0.805	0.527344
0.81	0.527344
0.815	0.527344
0.82	0.527344
0.825	0.527344
0.83	0.527344
0.835	0.527344
0.84	0.527344
0.845	0.527344
0.85	0.527344
0.855	0.527344
0.86	0.527344
0.865	0.527344
0.87	0.527344
0.875	0.527344
0.88	0.527344
0.885	0.527344
0.89	0.527344
0.895	0.527344
0.9	0.527344
0.905	0.527344
0.91	0.527344
0.915	0.527344
0.92	0.527344
0.925	0.527344
0.93	0.527344
0.935	0.527344
0.94	0.527344
0.945	0.527344
0.95	0.527344
0.955	0.527344
0.96	0.527344
0.965	0.527344
0.97	0.527344
0.975	0.527344
0.98	0.527344
0.985	0.527344
0.99	0.527344
0.995	0.527344
1	0.527344
1.005	0.527344
1.01	0.527344
1.015	0.571289
1.02	0.571289
1.025	0.571289
1.03	0.571289
1.035	0.571289
1.04	0.571289
1.045	0.571289
1.05	0.571289
1.055	0.571289
1.06	0.571289
1.065	0.571289
1.07	0.571289
1.075	0.571289
1.08	0.615234
1.085	0.615234
1.09	0.615234
1.095	0.615234
1.1	0.615234
1.105	0.615234
1.11	0.615234
1.115	0.65918
1.12	0.65918
1.125	0.65918
1.13	0.65918
1.135	0.65918
1.14	0.703125
1.145	0.703125
1.15	0.703125
1.155	0.703125
1.16	0.703125
1.165	0.703125
1.17	0.703125
1.175	0.74707
1.18	0.74707
1.185	0.74707
1.19	0.791016
1.195	0.791016
1.2	0.791016
1.205	0.791016
1.21	0.834961
1.215	0.834961
1.22	0.834961
1.225	0.834961
1.23	0.834961
1.235	0.878906
1.24	0.878906
1.245	0.878906
1.25	0.878906
1.255	0.922852
1.26	0.922852
1.265	0.922852
1.27	0.922852
1.275	0.966797
1.28	0.966797
1.285	0.966797
1.29	0.966797
1.295	1.01074
1.3	1.01074
1.305	1.01074
1.31	1.05469
1.315	1.05469
1.32	1.09863
1.325	1.09863
1.33	1.14258
1.335	1.14258
1.34	1.14258
1.345	1.18652
1.35	1.23047
1.355	1.23047
1.36	1.31836
1.365	1.31836
1.37	1.31836
1.375	1.40625
1.38	1.40625
1.385	1.40625
1.39	1.49414
1.395	1.49414
1.4	1.53809
1.405	1.58203
1.41	1.58203
1.415	1.62598
1.42	1.66992
1.425	1.66992
1.43	1.75781
1.435	1.75781
1.44	1.75781
1.445	1.8457
1.45	1.88965
