time (s) - Measured	Pitch (deg) - Measured
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0.0878906
0	0.0878906
0	0.0878906
0	0.0878906
0	0.0878906
0	0.0878906
0	0.0878906
0	0.0878906
0	0.0878906
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	-0.0878906
0	-0.0878906
0	-0.0878906
0	-0.0878906
0	-0.175781
0	-0.175781
0	-0.175781
0	-0.175781
0	-0.263672
0	-0.263672
0	-0.263672
0	-0.351562
0	-0.351562
0	-0.351562
0	-0.351562
0	-0.439453
0	-0.439453
0	-0.527344
0	-0.527344
0	-0.527344
0	-0.615234
0	-0.615234
0	-0.615234
0	-0.703125
0	-0.703125
0	-0.703125
0	-0.791016
0	-0.791016
0	-0.878906
0	-0.878906
0	-0.878906
0	-0.966797
0	-0.966797
0	-1.05469
0	-1.05469
0	-1.14258
0	-1.14258
0	-1.23047
0	-1.23047
0	-1.23047
0	-1.31836
0	-1.31836
0	-1.40625
0	-1.40625
0	-1.49414
0	-1.49414
0	-1.58203
0	-1.58203
0	-1.66992
0	-1.66992
0	-1.75781
0	-1.75781
0	-1.8457
0	-1.8457
0	-1.93359
0	-1.93359
0	-2.02148
0	-2.02148
0	-2.10938
0	-2.10938
0	-2.19727
0	-2.28516
0	-2.28516
0	-2.37305
0	-2.37305
0	-2.46094
0	-2.46094
1	-2.54883
1	-2.63672
1	-2.63672
1	-2.72461
1	-2.72461
1	-2.8125
1	-2.8125
1	-2.90039
1	-2.98828
1	-2.98828
1	-3.07617
1	-3.16406
1	-3.16406
1	-3.25195
1	-3.25195
1	-3.33984
1	-3.42773
1	-3.42773
1	-3.51563
1	-3.51563
1	-3.60352
1	-3.60352
1	-3.60352
1	-3.60352
1	-3.60352
1	-3.60352
1	-3.60352
1	-3.51563
1	-3.51563
1	-3.51563
1	-3.51563
1	-3.42773
1	-3.33984
1	-3.33984
1	-3.25195
1	-3.25195
1	-3.16406
1	-3.07617
1	-2.98828
1	-2.90039
1	-2.8125
1	-2.72461
1	-2.63672
1	-2.54883
1	-2.46094
1	-2.37305
1	-2.28516
1	-2.19727
1	-2.10938
1	-2.02148
1	-1.93359
1	-1.93359
1	-1.75781
1	-1.66992
1	-1.58203
1	-1.58203
1	-1.40625
1	-1.31836
1	-1.23047
1	-1.14258
1	-1.05469
1	-0.966797
1	-0.878906
1	-0.703125
1	-0.615234
1	-0.527344
1	-0.527344
1	-0.439453
1	-0.351562
1	-0.263672
1	-0.263672
1	-0.175781
1	-0.0878906
1	-0.0878906
1	0
1	0
1	0.0878906
1	0.175781
1	0.175781
